name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
A Castle for Christmas,"Holiday, Romance, Comedy",74%,23,40%,100+,,1h 38m,2021,English,https://www.rottentomatoes.com/m/a_castle_for_christmas
Pinocchio,"Kids & family, Fantasy, Animation",100%,61,73%,"250,000+",G,1h 27m,1940,English,https://www.rottentomatoes.com/m/pinocchio_1940
The Informer,"Mystery & thriller, Crime, Drama",64%,58,60%,250+,R (Strong Violence|Pervasive Language),1h 53m,2019,English,https://www.rottentomatoes.com/m/the_informer_2020
They Cloned Tyrone,"Sci-fi, Comedy",95%,129,100%,Fewer,R (Violence|Drug Use|Some Sexual Material|Pervasive Language),2h 2m,2023,English,https://www.rottentomatoes.com/m/they_cloned_tyrone
1917,"War, History, Drama",89%,472,88%,"25,000+",R (Some Disturbing Images|Language|Violence),1h 59m,2019,English,https://www.rottentomatoes.com/m/1917_2019
Forever My Girl,"Romance, Drama, Music",24%,54,79%,"1,000+",PG (Language|Drinking|Thematic Elements),1h 48m,2018,English,https://www.rottentomatoes.com/m/forever_my_girl
Silent Night,"Horror, Drama, Comedy",66%,119,47%,250+,,1h 32m,2021,English (United Kingdom),https://www.rottentomatoes.com/m/silent_night_2021_2
Titanic,"History, Drama, Romance",88%,254,69%,"250,000+",PG-13 (Disaster Related Peril|Brief Language|Nudity|Sensuality|Violence),3h 15m,1997,English,https://www.rottentomatoes.com/m/titanic
The Beasts,"Drama, Mystery & thriller",98%,62,88%,50+,,2h 18m,2022,French (France),https://www.rottentomatoes.com/m/the_beasts
The Post,"History, Drama",88%,408,73%,"10,000+",PG-13 (Language|Brief War Violence),1h 55m,2017,English,https://www.rottentomatoes.com/m/the_post
The Equalizer 3,"Action, Mystery & thriller",76%,161,94%,"2,500+",R (Strong Bloody Violence|Some Language),1h 49m,2023,English,https://www.rottentomatoes.com/m/the_equalizer_3
The Rescue,"Documentary, Drama, Mystery & thriller",96%,103,99%,50+,PG (Some Language|Peril|Thematic Material),1h 47m,2021,English,https://www.rottentomatoes.com/m/the_rescue_2021
The Flash,"Action, Adventure, Fantasy",63%,385,83%,"5,000+",PG-13 (Partial Nudity|Action|Sequences of Violence|Some Strong Language),2h 24m,2023,English,https://www.rottentomatoes.com/m/the_flash_2023
Tokyo Godfathers,"Comedy, Drama, Anime",92%,76,91%,"10,000+",PG-13 (Thematic Elements|Some Sexual Material|Language|Violent Images),1h 30m,2003,Japanese,https://www.rottentomatoes.com/m/tokyo_godfathers
Kelce,"Biography, Documentary, Sports",40%,5,99%,100+,,1h 42m,2023,English,https://www.rottentomatoes.com/m/kelce
Buried: The 1982 Alpine Meadows Avalanche,Documentary,100%,10,96%,100+,,1h 36m,2021,English,https://www.rottentomatoes.com/m/buried_the_1982_alpine_meadows_avalanche
E.T. the Extra-Terrestrial,"Kids & family, Sci-fi, Adventure",99%,145,72%,"250,000+",PG,1h 55m,1982,English,https://www.rottentomatoes.com/m/et_the_extraterrestrial
"To Me, the One Who Loved You","Anime, Fantasy, Romance",--,2,100%,Fewer,,1h 39m,2022,Japanese,https://www.rottentomatoes.com/m/to_me_the_one_who_loved_you
Last Night in Soho,"Mystery & thriller, Drama",75%,351,90%,500+,R (Brief Drug Material|Bloody Violence|Brief Graphic Nudity|Language|Sexual Content),1h 57m,2021,English (United Kingdom),https://www.rottentomatoes.com/m/last_night_in_soho
Werewolf by Night,"Fantasy, Action, Adventure, Horror",89%,114,89%,"2,500+",,54m,2022,English,https://www.rottentomatoes.com/m/werewolf_by_night
Taylor Swift: Miss Americana,"Documentary, Music",91%,97,91%,"2,500+",,1h 26m,2020,English,https://www.rottentomatoes.com/m/miss_americana
The Equalizer 2,"Action, Mystery & thriller",52%,212,61%,"5,000+",R (Language|Brutal Violence Throughout|Some Drug Content),2h 1m,2018,English,https://www.rottentomatoes.com/m/equalizer_2
You Should Have Left,"Horror, Mystery & thriller",40%,113,26%,250+,R (Language|Disturbing Images|Sexual Content|Some Violence),1h 33m,2020,English,https://www.rottentomatoes.com/m/you_should_have_left
Gran Turismo: Based on a True Story,"Action, Drama",65%,224,98%,"1,000+",PG-13 (Some Strong Language|Intense Action),2h 15m,2023,English,https://www.rottentomatoes.com/m/gran_turismo_based_on_a_true_story
Star Wars: Episode III - Revenge of the Sith,"Sci-fi, Adventure, Action, Fantasy",79%,305,66%,"250,000+",PG-13 (Some Intense Images|Sci-Fi Violence),2h 20m,2005,English,https://www.rottentomatoes.com/m/star_wars_episode_iii_revenge_of_the_sith
Puss in Boots,"Kids & family, Comedy, Adventure, Animation",86%,154,68%,"50,000+",PG (Some Adventure Action|Mild Rude Humor),1h 30m,2011,English,https://www.rottentomatoes.com/m/1209933-puss_in_boots
The Menu,"Horror, Mystery & thriller, Comedy",88%,327,76%,"1,000+",R (Some Sexual References|Language Throughout|Strong Violent Content),1h 47m,2022,English,https://www.rottentomatoes.com/m/the_menu
Amsterdam,"Comedy, Mystery & thriller, Crime, Drama",32%,257,62%,500+,R (Brief Violence|Bloody Images),2h 14m,2022,English,https://www.rottentomatoes.com/m/amsterdam_2022
The Haunting Lodge,"Horror, Documentary",--,50+,98%,,,1h 7m,2023,English,https://www.rottentomatoes.com/m/the_haunting_lodge
How to Train Your Dragon 2,"Kids & family, Fantasy, Adventure, Comedy, Animation",92%,188,90%,"100,000+",PG (Some Mild Rude Humor|Adventure Action),1h 42m,2014,English,https://www.rottentomatoes.com/m/how_to_train_your_dragon_2
Flora and Son,"Musical, Comedy, Drama, Music, Romance",93%,151,85%,100+,R (Brief Drug Use|Sexual References|Language Throughout),1h 34m,2023,English,https://www.rottentomatoes.com/m/flora_and_son
It's a Wonderful Life,"Holiday, Comedy, Drama",94%,93,95%,"100,000+",PG (Some Violence|Smoking|Thematic Elements),2h 9m,1946,English,https://www.rottentomatoes.com/m/its_a_wonderful_life
The Muppet Christmas Carol,"Kids & family, Holiday, Fantasy",77%,56,86%,"100,000+",G,1h 25m,1992,English,https://www.rottentomatoes.com/m/muppet_christmas_carol
Slow West,"Western, Mystery & thriller",92%,137,74%,"10,000+",R (Violence|Brief Language),1h 31m,2015,English,https://www.rottentomatoes.com/m/slow_west_2015
Ghostbusters: Afterlife,"Comedy, Fantasy, Adventure",64%,310,94%,"5,000+",PG-13 (Supernatural Action|Some Suggestive References),2h 4m,2021,English,https://www.rottentomatoes.com/m/ghostbusters_afterlife
The Lion King,"Kids & family, Adventure, Drama",52%,437,88%,"50,000+",PG (Sequences of Violence|Peril|Some Thematic Elements),1h 58m,2019,English,https://www.rottentomatoes.com/m/the_lion_king_2019
Fair Play,Drama,86%,225,52%,500+,R (Sexual Violence|Sexual Content|Pervasive Language|Some Nudity),1h 53m,2023,English,https://www.rottentomatoes.com/m/fair_play_2023
White Men Can't Jump,"Comedy, Drama, Sports",26%,88,60%,500+,R (Some Drug Material|Pervasive Language),1h 41m,2023,English,https://www.rottentomatoes.com/m/white_men_cant_jump_2023
Kubo and the Two Strings,"Kids & family, Fantasy, Adventure, Action, Animation",97%,228,86%,"25,000+",PG (Scary Images|Action and Peril|Thematic Elements),1h 42m,2016,English,https://www.rottentomatoes.com/m/kubo_and_the_two_strings_2016
Perfect Addiction,"Drama, Romance, Sports",--,3,65%,50+,R (Sexual Content and Language),1h 47m,2023,English,https://www.rottentomatoes.com/m/perfect_addiction
World Debut: From Outsiders to the Olympics,"Documentary, Sports & fitness",--,,--,,,Documentary/Sports & fitness,2021,English,https://www.rottentomatoes.com/m/world_debut
The Martian,"Sci-fi, Adventure, Drama",91%,387,91%,"100,000+",PG-13 (Injury Images|Brief Nudity|Some Strong Language),2h 22m,2015,English,https://www.rottentomatoes.com/m/the_martian
Good Burger 2,Comedy,67%,6,74%,100+,,1h 46m,2023,English,https://www.rottentomatoes.com/m/good_burger_2
Dawn of the Planet of the Apes,"Sci-fi, Action, Adventure",91%,319,88%,"100,000+",PG-13 (Intense Sci-Fi Action/Violence|Brief Strong Language),2h 10m,2014,English,https://www.rottentomatoes.com/m/dawn_of_the_planet_of_the_apes
Home Alone,"Kids & family, Holiday, Comedy",66%,62,80%,"250,000+",PG,1h 42m,1990,English,https://www.rottentomatoes.com/m/home_alone
Edward Scissorhands,"Holiday, Fantasy, Comedy, Drama, Romance",89%,66,91%,"250,000+",PG-13,1h 45m,1990,English,https://www.rottentomatoes.com/m/edward_scissorhands
Facing Monsters,"Documentary, Biography, Sports",--,4,86%,Fewer,,1h 34m,2021,English (Australia),https://www.rottentomatoes.com/m/facing_monsters
Chick Fight,"Comedy, Action, Sports & fitness",38%,29,20%,100+,R (Some Violence|Brief Drug Use|Sexual Material Throughout|Language),1h 37m,2020,English,https://www.rottentomatoes.com/m/chick_fight
On-Gaku: Our Sound,"Comedy, Music, Anime, Animation",100%,13,80%,Fewer,,1h 11m,2019,Japanese,https://www.rottentomatoes.com/m/on_gaku_our_sound
Sly,"Documentary, Biography",78%,46,88%,50+,R (Some Language),1h 35m,2023,English,https://www.rottentomatoes.com/m/sly_2023
Cuties,"Comedy, Drama",87%,82,14%,"2,500+",,1h 36m,2020,French (France),https://www.rottentomatoes.com/m/cuties
Terrifier,"Holiday, Horror, Mystery & thriller",55%,22,53%,"1,000+",,1h 25m,2016,English,https://www.rottentomatoes.com/m/terrifier
Slumberland,"Kids & family, Fantasy",40%,43,86%,"1,000+",PG (Some Thematic Elements|Action|Peril|Language|Suggestive References),1h 57m,2022,English,https://www.rottentomatoes.com/m/slumberland
Deadwood: The Movie,Western,98%,89,83%,100+,TVMA,1h 49m,2019,English,https://www.rottentomatoes.com/m/deadwood_the_movie
Ocean's 8,"Comedy, Crime, Drama",68%,365,47%,"10,000+",PG-13 (Language|Drug Use|Some Suggestive Content),1h 50m,2018,English,https://www.rottentomatoes.com/m/oceans_8
Hyena Road,"War, Drama",57%,23,59%,"1,000+",R (Language Throughout|Bloody War Violence|Some Sexual Material),2h 0m,2015,English,https://www.rottentomatoes.com/m/hyena_road
Die Hard,"Action, Mystery & thriller",94%,87,94%,"250,000+",R,2h 11m,1988,English,https://www.rottentomatoes.com/m/die_hard
Nina,"Biography, History, Drama, Music",2%,41,24%,250+,,1h 30m,2016,English,https://www.rottentomatoes.com/m/nina_2016
How to Train Your Dragon: The Hidden World,"Kids & family, Fantasy, Adventure, Comedy, Animation",90%,275,87%,"50,000+",PG (Some Mild Rude Humor|Adventure Action),1h 44m,2019,English,https://www.rottentomatoes.com/m/how_to_train_your_dragon_the_hidden_world
Moonage Daydream,"Documentary, Music",92%,163,75%,500+,PG-13 (Smoking|Brief Strong Language|Some Sexual Images/Nudity),2h 14m,2022,English,https://www.rottentomatoes.com/m/moonage_daydream
Murder on the Orient Express,"Mystery & thriller, Crime, Drama",60%,301,54%,"25,000+",PG-13 (Violence and Thematic Elements),1h 54m,2017,English,https://www.rottentomatoes.com/m/murder_on_the_orient_express_2017
Dunkirk,"War, History, Drama",92%,473,81%,"50,000+",PG-13 (Some Language|Intense War Experience),1h 47m,2017,English,https://www.rottentomatoes.com/m/dunkirk_2017
Heart of Stone,"Action, Mystery & thriller, Crime",30%,136,51%,"1,000+",PG-13 (Action|Some Language|Sequences of Violence),2h 2m,2023,English,https://www.rottentomatoes.com/m/heart_of_stone_2023
Isle of Dogs,"Comedy, Adventure, Animation",90%,371,87%,"5,000+",PG-13 (Thematic Elements|Some Violent Images),1h 41m,2018,English,https://www.rottentomatoes.com/m/isle_of_dogs_2018
The Road to El Dorado,"Kids & family, Musical, Animation",49%,106,66%,"50,000+",PG (Thematic Elements|Language),1h 29m,2000,English,https://www.rottentomatoes.com/m/road_to_el_dorado
Suitable Flesh,"Horror, Mystery & thriller",85%,66,60%,50+,,1h 39m,2023,English,https://www.rottentomatoes.com/m/suitable_flesh
Haunting of the Queen Mary,"Horror, Mystery & thriller",62%,13,64%,100+,,1h 54m,2023,English,https://www.rottentomatoes.com/m/haunting_of_the_queen_mary
Sausage Party,"Comedy, Adventure, Animation",82%,239,50%,"50,000+",R (Pervasive Language|Drug Use|Strong Crude Sexual Content),1h 29m,2016,English,https://www.rottentomatoes.com/m/sausage_party
"Tick, Tick... Boom!","Musical, Drama, Biography",88%,222,96%,50+,PG-13 (Some Strong Language|Drug References|Some Suggestive Material),1h 55m,2021,English,https://www.rottentomatoes.com/m/tick_tick_boom
Halloween Kills,"Holiday, Horror, Mystery & thriller",39%,278,66%,"2,500+",R (Language|Grisly Images|Some Drug Use|Strong Bloody Violence),1h 45m,2021,English,https://www.rottentomatoes.com/m/halloween_kills
My Neighbor Totoro,"Fantasy, Anime",93%,59,94%,"50,000+",G,1h 27m,1988,Japanese,https://www.rottentomatoes.com/m/my_neighbor_totoro
The Subtle Art of Not Giving a #@%!,"Documentary, Comedy",71%,7,40%,50+,R (Language Throughout|Brief Violent Images),1h 37m,2023,English,https://www.rottentomatoes.com/m/the_subtle_art_of_not_giving_a_at_percent
The Wrecking Crew,"Documentary, Music",95%,74,84%,"5,000+",PG (Thematic Elements|Smoking Images|Language),1h 42m,2008,English,https://www.rottentomatoes.com/m/1200743-wrecking_crew
The Ridiculous 6,"Comedy, Western",0%,37,35%,"2,500+",TV14,1h 59m,2015,English,https://www.rottentomatoes.com/m/the_ridiculous_6
Smile,"Horror, Mystery & thriller",79%,192,77%,"2,500+",R,1h 56m,2022,English,https://www.rottentomatoes.com/m/smile_2022
Bone Tomahawk,"Western, Action, Horror, Comedy",91%,102,74%,"10,000+",,2h 12m,2015,English,https://www.rottentomatoes.com/m/bone_tomahawk
Christine,"Biography, Drama",88%,130,71%,"5,000+",R (Language|A Scene of Disturbing Violence|Some Sexual References),1h 59m,2016,English,https://www.rottentomatoes.com/m/christine_2016
