Title,Genre,ReleaseYear,Rating,VoteCount,Duration
The Hunger Games: Mockingjay - Part 1,"['Action', 'Adventure', 'Sci-Fi']",2014,6.6,485721,2.05
The Equalizer,"['Action', 'Crime', 'Thriller']",2014,7.2,405738,2.2
John Wick,"['Action', 'Crime', 'Thriller']",2014,7.4,720249,1.6833333333333333
Fury,"['Action', 'Drama', 'War']",2014,7.6,529714,2.2333333333333334
Guardians of the Galaxy,"['Action', 'Adventure', 'Comedy']",2014,8.0,1251160,2.0166666666666666
Godzilla,"['Action', 'Adventure', 'Sci-Fi']",2014,6.4,430304,2.05
Kingsman: The Secret Service,"['Action', 'Adventure', 'Comedy']",2014,7.7,701814,2.15
Edge of Tomorrow,"['Action', 'Adventure', 'Sci-Fi']",2014,7.9,719359,1.8833333333333333
Divergent,"['Action', 'Adventure', 'Mystery']",2014,6.6,480232,2.316666666666667
Dawn of the Planet of the Apes,"['Action', 'Adventure', 'Drama']",2014,7.6,459961,2.1666666666666665
The Maze Runner,"['Action', 'Mystery', 'Sci-Fi']",2014,6.8,496281,1.8833333333333333
American Sniper,"['Action', 'Biography', 'Drama']",2014,7.3,517950,2.216666666666667
The Amazing Spider-Man 2,"['Action', 'Adventure', 'Sci-Fi']",2014,6.6,526949,2.3666666666666667
Predestination,"['Action', 'Drama', 'Sci-Fi']",2014,7.4,296782,1.6166666666666667
Captain America: The Winter Soldier,"['Action', 'Adventure', 'Sci-Fi']",2014,7.8,884673,2.2666666666666666
X-Men: Days of Future Past,"['Action', 'Adventure', 'Sci-Fi']",2014,7.9,735342,2.2
Lucy,"['Action', 'Sci-Fi', 'Thriller']",2014,6.4,523206,1.4833333333333334
Big Hero 6,"['Animation', 'Action', 'Adventure']",2014,7.8,489907,1.7
RoboCop,"['Action', 'Crime', 'Sci-Fi']",2014,6.1,236926,1.95
Exodus: Gods and Kings,"['Action', 'Adventure', 'Drama']",2014,6.0,175392,2.5
The Expendables 3,"['Action', 'Adventure', 'Thriller']",2014,6.1,193226,2.1
The Lego Movie,"['Animation', 'Action', 'Adventure']",2014,7.7,380916,1.6666666666666667
Hercules,"['Action', 'Adventure', 'Fantasy']",2014,6.0,162563,1.6333333333333333
Teenage Mutant Ninja Turtles,"['Action', 'Adventure', 'Comedy']",2014,5.8,217907,1.6833333333333333
Unbroken,"['Action', 'Biography', 'Drama']",2014,7.2,179081,2.283333333333333
Sin City: A Dame to Kill For,"['Action', 'Crime', 'Thriller']",2014,6.5,168383,1.7
300: Rise of an Empire,"['Action', 'Drama', 'War']",2014,6.2,312118,1.7
Transformers: Age of Extinction,"['Action', 'Adventure', 'Sci-Fi']",2014,5.6,327945,2.75
The Guest,"['Action', 'Mystery', 'Thriller']",2014,6.7,104793,1.6666666666666667
The Interview,"['Action', 'Adventure', 'Comedy']",2014,6.5,347583,1.8666666666666667
We Still Kill the Old Way,"['Action', 'Comedy', 'Crime']",2014,6.0,4881,1.5666666666666667
Noah,"['Action', 'Adventure', 'Drama']",2014,5.8,263562,2.3
Need for Speed,"['Action', 'Crime', 'Thriller']",2014,6.4,176682,2.2
Dracula Untold,"['Action', 'Drama', 'Fantasy']",2014,6.2,204785,1.5333333333333334
How to Train Your Dragon 2,"['Animation', 'Action', 'Adventure']",2014,7.8,356059,1.7
Non-Stop,"['Action', 'Mystery', 'Thriller']",2014,6.9,274120,1.7666666666666666
22 Jump Street,"['Action', 'Comedy', 'Crime']",2014,7.0,398040,1.8666666666666667
Transcendence,"['Action', 'Drama', 'Sci-Fi']",2014,6.2,236542,1.9833333333333334
